ticket_id,customer_id,issue_type,priority,resolution,days_to_resolve,satisfaction_after
TKT-201177,CUST-10663,Feature Request,Low,Escalated,9,2
TKT-201178,CUST-10663,Service Outage,Low,Pending,1,7
TKT-201179,CUST-10664,Account Issue,Low,Closed,14,4
TKT-201180,CUST-10665,Billing Issue,High,Resolved,11,2
TKT-201181,CUST-10665,Feature Request,Low,Pending,4,4
TKT-201182,CUST-10666,Cancellation Request,Medium,Resolved,12,2
TKT-201183,CUST-10667,Service Outage,Medium,Closed,10,8
TKT-201184,CUST-10667,Service Outage,Medium,Closed,3,9
TKT-201185,CUST-10667,Billing Issue,High,Resolved,12,10
TKT-201186,CUST-10667,Speed Problem,High,Pending,1,2
TKT-201187,CUST-10668,Login Issue,Low,Resolved,10,1
TKT-201188,CUST-10668,Service Outage,Medium,Pending,12,2
TKT-201189,CUST-10668,Technical Problem,High,Resolved,13,2
TKT-201190,CUST-10668,Billing Issue,Low,Closed,8,2
TKT-201191,CUST-10669,Service Outage,High,Closed,10,5
TKT-201192,CUST-10669,Speed Problem,Low,Closed,7,6
TKT-201193,CUST-10671,Account Issue,Medium,Escalated,9,2
TKT-201194,CUST-10672,Account Issue,Low,Pending,6,5
TKT-201195,CUST-10672,Speed Problem,Medium,Closed,6,3
TKT-201196,CUST-10673,Speed Problem,Low,Pending,6,3
TKT-201197,CUST-10673,Account Issue,High,Pending,6,6
TKT-201198,CUST-10674,Billing Issue,Medium,Escalated,14,3
TKT-201199,CUST-10675,Feature Request,Low,Closed,5,1
TKT-201200,CUST-10675,Billing Issue,Low,Escalated,12,1
TKT-201201,CUST-10677,Feature Request,Low,Escalated,5,9
TKT-201202,CUST-10677,Feature Request,Low,Pending,10,3
TKT-201203,CUST-10678,Feature Request,Low,Closed,3,1
TKT-201204,CUST-10678,Cancellation Request,High,Pending,12,7
TKT-201205,CUST-10678,Service Outage,Low,Closed,8,1
TKT-201206,CUST-10679,Billing Issue,Low,Pending,1,2
TKT-201207,CUST-10679,Account Issue,High,Pending,7,10
TKT-201208,CUST-10680,Billing Issue,High,Closed,10,4
TKT-201209,CUST-10681,Account Issue,Low,Resolved,3,2
TKT-201210,CUST-10683,Login Issue,Medium,Pending,3,2
TKT-201211,CUST-10683,Billing Issue,Medium,Escalated,9,6
TKT-201212,CUST-10683,Login Issue,High,Escalated,8,3
TKT-201213,CUST-10683,Billing Issue,High,Closed,11,4
TKT-201214,CUST-10684,Billing Issue,Medium,Resolved,1,7
TKT-201215,CUST-10684,Login Issue,Low,Closed,14,10
TKT-201216,CUST-10686,Cancellation Request,Medium,Closed,14,2
TKT-201217,CUST-10687,Technical Problem,Medium,Closed,11,3
TKT-201218,CUST-10688,Technical Problem,High,Escalated,12,1
TKT-201219,CUST-10689,Cancellation Request,Low,Closed,1,5
TKT-201220,CUST-10690,Service Outage,Medium,Escalated,5,2
TKT-201221,CUST-10690,Cancellation Request,High,Escalated,9,8
TKT-201222,CUST-10690,Billing Issue,Low,Escalated,9,2
TKT-201223,CUST-10690,Cancellation Request,High,Pending,4,5
TKT-201224,CUST-10690,Speed Problem,High,Pending,4,5
TKT-201225,CUST-10690,Login Issue,High,Closed,6,5
TKT-201226,CUST-10691,Account Issue,Low,Escalated,1,3
TKT-201227,CUST-10691,Account Issue,Medium,Resolved,12,5
TKT-201228,CUST-10691,Login Issue,Medium,Pending,10,7
TKT-201229,CUST-10692,Account Issue,High,Escalated,8,8
TKT-201230,CUST-10692,Service Outage,Low,Pending,8,3
TKT-201231,CUST-10693,Feature Request,Low,Pending,5,4
TKT-201232,CUST-10694,Service Outage,Medium,Resolved,1,3
TKT-201233,CUST-10694,Speed Problem,Low,Pending,4,1
TKT-201234,CUST-10695,Speed Problem,Low,Resolved,14,8
TKT-201235,CUST-10695,Cancellation Request,Medium,Escalated,7,5
TKT-201236,CUST-10695,Account Issue,Medium,Closed,2,9
TKT-201237,CUST-10697,Account Issue,High,Escalated,8,1
TKT-201238,CUST-10697,Login Issue,Low,Resolved,3,9
TKT-201239,CUST-10698,Technical Problem,High,Closed,2,6
TKT-201240,CUST-10699,Account Issue,Medium,Closed,10,9
TKT-201241,CUST-10700,Account Issue,Low,Pending,11,2
TKT-201242,CUST-10700,Service Outage,High,Escalated,13,9
TKT-201243,CUST-10700,Cancellation Request,High,Pending,11,10
TKT-201244,CUST-10701,Speed Problem,Medium,Resolved,1,10
TKT-201245,CUST-10701,Billing Issue,High,Closed,5,9
TKT-201246,CUST-10701,Technical Problem,Medium,Resolved,14,2
TKT-201247,CUST-10701,Billing Issue,Medium,Resolved,9,7
TKT-201248,CUST-10703,Billing Issue,Low,Pending,3,4
TKT-201249,CUST-10703,Feature Request,Medium,Closed,11,10
TKT-201250,CUST-10703,Login Issue,Medium,Resolved,4,3
TKT-201251,CUST-10706,Cancellation Request,High,Escalated,9,4
TKT-201252,CUST-10706,Feature Request,Low,Pending,9,2
TKT-201253,CUST-10706,Speed Problem,High,Resolved,14,7
TKT-201254,CUST-10706,Service Outage,High,Escalated,8,5
TKT-201255,CUST-10707,Login Issue,Medium,Pending,10,6
TKT-201256,CUST-10707,Billing Issue,High,Resolved,7,6
TKT-201257,CUST-10707,Cancellation Request,Low,Closed,13,3
TKT-201258,CUST-10710,Feature Request,High,Pending,3,10
TKT-201259,CUST-10710,Account Issue,High,Escalated,9,3
TKT-201260,CUST-10712,Technical Problem,Low,Escalated,14,7
TKT-201261,CUST-10712,Technical Problem,Low,Resolved,4,10
TKT-201262,CUST-10713,Cancellation Request,Medium,Pending,7,3
TKT-201263,CUST-10713,Login Issue,Medium,Closed,7,10
TKT-201264,CUST-10713,Account Issue,Medium,Resolved,6,1
TKT-201265,CUST-10716,Technical Problem,Low,Pending,2,5
TKT-201266,CUST-10716,Cancellation Request,Low,Closed,1,4
TKT-201267,CUST-10716,Cancellation Request,High,Closed,14,5
TKT-201268,CUST-10716,Feature Request,Low,Pending,3,8
TKT-201269,CUST-10716,Feature Request,High,Closed,9,9
TKT-201270,CUST-10717,Feature Request,High,Closed,2,8
TKT-201271,CUST-10717,Cancellation Request,Low,Closed,1,5
TKT-201272,CUST-10718,Technical Problem,Low,Escalated,10,4
TKT-201273,CUST-10718,Cancellation Request,Medium,Closed,5,6
TKT-201274,CUST-10719,Cancellation Request,High,Resolved,10,2
TKT-201275,CUST-10719,Cancellation Request,Low,Closed,9,10
TKT-201276,CUST-10719,Cancellation Request,Medium,Resolved,14,9
TKT-201277,CUST-10720,Technical Problem,Medium,Escalated,7,4
TKT-201278,CUST-10721,Service Outage,High,Pending,7,2
TKT-201279,CUST-10721,Account Issue,High,Resolved,14,1
TKT-201280,CUST-10722,Billing Issue,Low,Pending,1,6
TKT-201281,CUST-10723,Technical Problem,Low,Escalated,8,10
TKT-201282,CUST-10723,Account Issue,High,Escalated,11,5
TKT-201283,CUST-10723,Technical Problem,Medium,Resolved,6,9
TKT-201284,CUST-10723,Billing Issue,Medium,Pending,13,5
TKT-201285,CUST-10724,Feature Request,Low,Escalated,13,1
TKT-201286,CUST-10724,Login Issue,Low,Resolved,1,1
TKT-201287,CUST-10725,Service Outage,Medium,Closed,2,5
TKT-201288,CUST-10726,Cancellation Request,Low,Escalated,5,1
TKT-201289,CUST-10726,Feature Request,Medium,Pending,4,2
TKT-201290,CUST-10726,Feature Request,High,Closed,13,10
TKT-201291,CUST-10726,Billing Issue,High,Resolved,13,7
TKT-201292,CUST-10727,Speed Problem,Low,Escalated,5,7
TKT-201293,CUST-10728,Service Outage,High,Pending,5,6
TKT-201294,CUST-10728,Billing Issue,Low,Resolved,3,6
TKT-201295,CUST-10729,Cancellation Request,Low,Escalated,8,6
TKT-201296,CUST-10729,Speed Problem,High,Pending,6,10
TKT-201297,CUST-10730,Account Issue,High,Closed,9,1
TKT-201298,CUST-10730,Speed Problem,High,Resolved,12,8
TKT-201299,CUST-10731,Feature Request,Low,Pending,5,3
TKT-201300,CUST-10731,Feature Request,High,Escalated,8,6
TKT-201301,CUST-10731,Feature Request,High,Escalated,5,6
TKT-201302,CUST-10731,Cancellation Request,Medium,Resolved,8,9
TKT-201303,CUST-10731,Feature Request,Low,Resolved,11,6
TKT-201304,CUST-10732,Service Outage,High,Closed,14,8
TKT-201305,CUST-10732,Technical Problem,Low,Resolved,8,1
TKT-201306,CUST-10733,Feature Request,Low,Pending,13,8
TKT-201307,CUST-10733,Feature Request,High,Pending,2,3
TKT-201308,CUST-10733,Cancellation Request,Medium,Resolved,9,6
TKT-201309,CUST-10734,Feature Request,Medium,Resolved,5,10
TKT-201310,CUST-10734,Billing Issue,Medium,Pending,5,9
TKT-201311,CUST-10734,Billing Issue,Medium,Resolved,4,1
TKT-201312,CUST-10734,Service Outage,Low,Escalated,1,1
TKT-201313,CUST-10734,Login Issue,Low,Escalated,1,8
TKT-201314,CUST-10734,Speed Problem,Medium,Closed,5,1
TKT-201315,CUST-10736,Speed Problem,High,Closed,1,6
TKT-201316,CUST-10736,Account Issue,Low,Closed,6,1
TKT-201317,CUST-10737,Service Outage,High,Pending,14,3
TKT-201318,CUST-10737,Speed Problem,Medium,Pending,3,5
TKT-201319,CUST-10738,Service Outage,Medium,Resolved,13,1
TKT-201320,CUST-10739,Account Issue,High,Closed,1,3
TKT-201321,CUST-10739,Service Outage,Low,Resolved,9,1
TKT-201322,CUST-10739,Account Issue,High,Resolved,1,3
TKT-201323,CUST-10739,Service Outage,High,Pending,5,3
TKT-201324,CUST-10739,Login Issue,Low,Closed,14,5
TKT-201325,CUST-10739,Technical Problem,Medium,Escalated,9,9
TKT-201326,CUST-10740,Speed Problem,Low,Closed,6,8
TKT-201327,CUST-10740,Feature Request,Low,Escalated,10,3
TKT-201328,CUST-10741,Technical Problem,High,Pending,10,9
TKT-201329,CUST-10741,Technical Problem,High,Pending,14,9
TKT-201330,CUST-10742,Feature Request,Low,Escalated,6,5
TKT-201331,CUST-10742,Login Issue,Low,Resolved,2,9
TKT-201332,CUST-10742,Speed Problem,Medium,Closed,14,10
TKT-201333,CUST-10742,Speed Problem,Low,Resolved,2,1
TKT-201334,CUST-10742,Login Issue,Low,Escalated,8,6
TKT-201335,CUST-10742,Login Issue,Low,Escalated,8,3
TKT-201336,CUST-10743,Feature Request,Medium,Closed,12,4
TKT-201337,CUST-10744,Account Issue,Low,Pending,14,2
TKT-201338,CUST-10744,Technical Problem,High,Escalated,8,8
TKT-201339,CUST-10744,Cancellation Request,Low,Pending,12,7
TKT-201340,CUST-10744,Billing Issue,High,Pending,10,7
TKT-201341,CUST-10744,Cancellation Request,High,Escalated,7,3
TKT-201342,CUST-10745,Technical Problem,High,Closed,13,2
TKT-201343,CUST-10745,Speed Problem,Medium,Escalated,1,2
TKT-201344,CUST-10745,Billing Issue,Low,Pending,2,2
TKT-201345,CUST-10747,Billing Issue,Medium,Closed,10,2
TKT-201346,CUST-10747,Technical Problem,High,Resolved,9,6
TKT-201347,CUST-10748,Speed Problem,Low,Closed,1,4
TKT-201348,CUST-10750,Feature Request,Medium,Closed,14,10
TKT-201349,CUST-10750,Cancellation Request,High,Pending,7,2
TKT-201350,CUST-10751,Speed Problem,Medium,Resolved,5,8
TKT-201351,CUST-10753,Technical Problem,Medium,Closed,10,6
TKT-201352,CUST-10753,Login Issue,Medium,Pending,3,2
TKT-201353,CUST-10755,Technical Problem,Low,Pending,4,1
TKT-201354,CUST-10755,Account Issue,High,Closed,7,6
TKT-201355,CUST-10756,Login Issue,Low,Closed,5,9
TKT-201356,CUST-10757,Cancellation Request,Medium,Resolved,12,4
TKT-201357,CUST-10757,Speed Problem,Low,Pending,11,2
TKT-201358,CUST-10757,Cancellation Request,High,Pending,12,9
TKT-201359,CUST-10757,Feature Request,Medium,Closed,1,10
TKT-201360,CUST-10758,Account Issue,Medium,Resolved,14,8
TKT-201361,CUST-10758,Account Issue,Low,Pending,13,6
TKT-201362,CUST-10759,Speed Problem,Low,Closed,10,8
TKT-201363,CUST-10759,Account Issue,Medium,Escalated,10,10
TKT-201364,CUST-10761,Speed Problem,High,Closed,7,3
TKT-201365,CUST-10762,Technical Problem,Medium,Escalated,5,10
TKT-201366,CUST-10763,Technical Problem,High,Closed,6,6
TKT-201367,CUST-10764,Cancellation Request,High,Resolved,7,1
TKT-201368,CUST-10764,Login Issue,High,Closed,12,10
TKT-201369,CUST-10764,Feature Request,High,Escalated,3,1
TKT-201370,CUST-10766,Feature Request,High,Escalated,5,3
TKT-201371,CUST-10766,Login Issue,Low,Resolved,8,10
TKT-201372,CUST-10767,Feature Request,Low,Closed,9,2
TKT-201373,CUST-10767,Account Issue,High,Escalated,11,8
TKT-201374,CUST-10767,Account Issue,High,Resolved,7,2
TKT-201375,CUST-10768,Account Issue,High,Pending,12,9
TKT-201376,CUST-10768,Speed Problem,High,Resolved,9,1
TKT-201377,CUST-10771,Service Outage,Medium,Pending,8,2
TKT-201378,CUST-10771,Login Issue,Medium,Resolved,2,3
TKT-201379,CUST-10772,Service Outage,Medium,Resolved,11,3
TKT-201380,CUST-10772,Feature Request,Low,Resolved,12,10
TKT-201381,CUST-10772,Speed Problem,Low,Escalated,3,8
TKT-201382,CUST-10772,Billing Issue,Low,Resolved,5,7
TKT-201383,CUST-10774,Technical Problem,High,Resolved,10,3
TKT-201384,CUST-10775,Account Issue,Low,Resolved,14,9
TKT-201385,CUST-10776,Account Issue,High,Resolved,11,9
TKT-201386,CUST-10778,Speed Problem,Medium,Pending,10,7
TKT-201387,CUST-10780,Service Outage,High,Pending,2,10
TKT-201388,CUST-10782,Billing Issue,Medium,Resolved,14,1
TKT-201389,CUST-10782,Technical Problem,Low,Closed,1,8
TKT-201390,CUST-10783,Feature Request,Medium,Pending,4,5
TKT-201391,CUST-10784,Billing Issue,Low,Resolved,4,5
TKT-201392,CUST-10786,Billing Issue,Medium,Pending,1,1
TKT-201393,CUST-10786,Feature Request,High,Resolved,8,10
TKT-201394,CUST-10787,Account Issue,Low,Pending,1,4
TKT-201395,CUST-10788,Feature Request,Low,Resolved,5,8
TKT-201396,CUST-10788,Service Outage,High,Resolved,13,4
TKT-201397,CUST-10788,Login Issue,High,Escalated,12,9
TKT-201398,CUST-10788,Billing Issue,High,Escalated,2,7
TKT-201399,CUST-10788,Technical Problem,High,Closed,5,6
TKT-201400,CUST-10789,Billing Issue,Medium,Escalated,3,3
TKT-201401,CUST-10791,Technical Problem,Medium,Escalated,14,5
TKT-201402,CUST-10791,Billing Issue,Medium,Pending,11,7
TKT-201403,CUST-10792,Account Issue,Low,Closed,10,4
TKT-201404,CUST-10793,Technical Problem,High,Pending,1,4
TKT-201405,CUST-10793,Technical Problem,High,Resolved,3,10
TKT-201406,CUST-10793,Cancellation Request,Low,Pending,12,4
TKT-201407,CUST-10793,Cancellation Request,Low,Pending,12,7
TKT-201408,CUST-10794,Technical Problem,Low,Pending,5,10
TKT-201409,CUST-10794,Technical Problem,Low,Pending,10,3
TKT-201410,CUST-10795,Feature Request,Medium,Pending,5,3
TKT-201411,CUST-10795,Service Outage,Low,Escalated,2,8
TKT-201412,CUST-10796,Login Issue,High,Resolved,5,3
TKT-201413,CUST-10796,Billing Issue,High,Pending,1,6
TKT-201414,CUST-10796,Cancellation Request,Medium,Pending,14,4
TKT-201415,CUST-10797,Speed Problem,High,Pending,9,2
TKT-201416,CUST-10798,Service Outage,Medium,Pending,6,4
TKT-201417,CUST-10798,Speed Problem,High,Pending,6,4
TKT-201418,CUST-10799,Billing Issue,High,Escalated,1,4
TKT-201419,CUST-10799,Cancellation Request,Medium,Escalated,8,2
TKT-201420,CUST-10800,Feature Request,Medium,Escalated,9,10
TKT-201421,CUST-10800,Cancellation Request,Low,Resolved,5,4
TKT-201422,CUST-10800,Cancellation Request,Low,Resolved,7,8
TKT-201423,CUST-10801,Service Outage,High,Pending,5,6
TKT-201424,CUST-10801,Billing Issue,High,Escalated,8,5
TKT-201425,CUST-10801,Service Outage,Low,Pending,10,10
TKT-201426,CUST-10801,Service Outage,Medium,Escalated,1,4
TKT-201427,CUST-10801,Technical Problem,High,Resolved,3,8
TKT-201428,CUST-10802,Billing Issue,High,Resolved,12,4
TKT-201429,CUST-10802,Cancellation Request,Medium,Escalated,3,4
TKT-201430,CUST-10803,Speed Problem,Low,Closed,12,3
TKT-201431,CUST-10803,Feature Request,Low,Resolved,1,3
TKT-201432,CUST-10804,Account Issue,High,Resolved,3,1
TKT-201433,CUST-10804,Billing Issue,High,Pending,1,4
TKT-201434,CUST-10804,Login Issue,Medium,Closed,3,6
TKT-201435,CUST-10804,Login Issue,High,Closed,7,2
TKT-201436,CUST-10805,Technical Problem,Medium,Resolved,9,4
TKT-201437,CUST-10806,Login Issue,Medium,Closed,6,9
TKT-201438,CUST-10806,Login Issue,Medium,Resolved,10,7
TKT-201439,CUST-10807,Speed Problem,Medium,Closed,4,8
TKT-201440,CUST-10808,Cancellation Request,High,Resolved,8,6
TKT-201441,CUST-10808,Account Issue,Low,Pending,7,9
TKT-201442,CUST-10809,Account Issue,Medium,Escalated,12,5
TKT-201443,CUST-10809,Feature Request,Medium,Escalated,1,3
TKT-201444,CUST-10809,Feature Request,High,Resolved,11,10
TKT-201445,CUST-10809,Account Issue,Medium,Closed,13,10
TKT-201446,CUST-10809,Service Outage,High,Resolved,9,9
TKT-201447,CUST-10810,Login Issue,Medium,Resolved,8,5
TKT-201448,CUST-10811,Login Issue,Low,Resolved,12,10
TKT-201449,CUST-10811,Service Outage,High,Pending,13,4
TKT-201450,CUST-10812,Technical Problem,Low,Escalated,3,1
TKT-201451,CUST-10813,Service Outage,Medium,Resolved,2,2
TKT-201452,CUST-10813,Cancellation Request,Low,Resolved,12,4
TKT-201453,CUST-10813,Login Issue,High,Resolved,11,5
TKT-201454,CUST-10813,Billing Issue,Low,Pending,2,2
TKT-201455,CUST-10814,Login Issue,Medium,Escalated,2,1
TKT-201456,CUST-10815,Cancellation Request,Low,Escalated,14,3
TKT-201457,CUST-10815,Account Issue,Medium,Resolved,1,2
TKT-201458,CUST-10815,Cancellation Request,High,Closed,10,6
TKT-201459,CUST-10815,Speed Problem,Low,Pending,5,6
TKT-201460,CUST-10815,Login Issue,Low,Pending,5,6
TKT-201461,CUST-10815,Cancellation Request,Low,Pending,11,2
TKT-201462,CUST-10816,Account Issue,Medium,Pending,10,7
TKT-201463,CUST-10816,Account Issue,High,Escalated,2,9
TKT-201464,CUST-10816,Feature Request,High,Pending,2,3
TKT-201465,CUST-10816,Service Outage,Medium,Escalated,1,1
TKT-201466,CUST-10816,Technical Problem,High,Escalated,14,4
TKT-201467,CUST-10817,Billing Issue,Low,Escalated,5,4
TKT-201468,CUST-10819,Feature Request,High,Resolved,4,5
TKT-201469,CUST-10819,Login Issue,Low,Escalated,10,3
TKT-201470,CUST-10819,Speed Problem,Low,Closed,12,3
TKT-201471,CUST-10819,Service Outage,Low,Resolved,7,7
TKT-201472,CUST-10820,Cancellation Request,Low,Closed,13,7
TKT-201473,CUST-10820,Technical Problem,High,Closed,12,10
TKT-201474,CUST-10822,Service Outage,Medium,Escalated,11,4
TKT-201475,CUST-10825,Feature Request,High,Closed,14,6
TKT-201476,CUST-10825,Service Outage,High,Pending,13,9
TKT-201477,CUST-10825,Billing Issue,High,Closed,3,3
TKT-201478,CUST-10826,Login Issue,Medium,Pending,4,10
TKT-201479,CUST-10827,Feature Request,Medium,Escalated,8,10
TKT-201480,CUST-10828,Feature Request,High,Closed,12,9
TKT-201481,CUST-10829,Service Outage,Medium,Pending,5,6
TKT-201482,CUST-10829,Account Issue,Low,Resolved,4,9
TKT-201483,CUST-10830,Service Outage,Medium,Pending,12,5
TKT-201484,CUST-10831,Technical Problem,High,Escalated,7,4
TKT-201485,CUST-10831,Speed Problem,Medium,Pending,4,4
TKT-201486,CUST-10831,Service Outage,Medium,Resolved,4,1
TKT-201487,CUST-10832,Service Outage,High,Resolved,3,5
TKT-201488,CUST-10832,Cancellation Request,Medium,Closed,9,8
TKT-201489,CUST-10833,Feature Request,High,Closed,11,9
TKT-201490,CUST-10835,Technical Problem,Low,Pending,11,2
TKT-201491,CUST-10836,Login Issue,Low,Resolved,1,10
TKT-201492,CUST-10837,Cancellation Request,High,Resolved,9,1
TKT-201493,CUST-10837,Service Outage,Low,Resolved,12,9
TKT-201494,CUST-10837,Billing Issue,High,Pending,10,6
TKT-201495,CUST-10837,Cancellation Request,Low,Pending,7,2
TKT-201496,CUST-10838,Cancellation Request,Low,Resolved,8,8
TKT-201497,CUST-10838,Technical Problem,Low,Resolved,12,8
TKT-201498,CUST-10838,Feature Request,Low,Closed,12,7
TKT-201499,CUST-10838,Login Issue,Low,Pending,12,8
TKT-201500,CUST-10839,Technical Problem,High,Closed,12,10
TKT-201501,CUST-10839,Billing Issue,Medium,Escalated,1,2
TKT-201502,CUST-10840,Account Issue,High,Closed,4,4
TKT-201503,CUST-10840,Cancellation Request,Low,Closed,2,3
TKT-201504,CUST-10841,Billing Issue,Low,Escalated,7,9
TKT-201505,CUST-10842,Service Outage,High,Pending,9,10
TKT-201506,CUST-10842,Speed Problem,High,Escalated,9,1
TKT-201507,CUST-10842,Account Issue,Medium,Closed,9,7
TKT-201508,CUST-10842,Account Issue,High,Escalated,3,8
TKT-201509,CUST-10842,Billing Issue,High,Escalated,9,6
TKT-201510,CUST-10843,Speed Problem,Medium,Pending,14,1
TKT-201511,CUST-10845,Feature Request,Medium,Escalated,3,7
TKT-201512,CUST-10845,Login Issue,Medium,Escalated,13,6
TKT-201513,CUST-10846,Technical Problem,Low,Resolved,5,4
TKT-201514,CUST-10849,Service Outage,Medium,Closed,3,6
TKT-201515,CUST-10850,Service Outage,Low,Closed,1,7
TKT-201516,CUST-10850,Cancellation Request,Low,Closed,3,6
TKT-201517,CUST-10851,Login Issue,High,Closed,6,10
TKT-201518,CUST-10851,Billing Issue,High,Closed,5,4
TKT-201519,CUST-10851,Cancellation Request,Medium,Escalated,14,3
TKT-201520,CUST-10851,Login Issue,Medium,Escalated,6,3
TKT-201521,CUST-10851,Cancellation Request,Low,Resolved,8,7
TKT-201522,CUST-10852,Billing Issue,Low,Pending,3,8
TKT-201523,CUST-10853,Billing Issue,Medium,Escalated,1,3
TKT-201524,CUST-10853,Service Outage,Low,Escalated,12,7
TKT-201525,CUST-10854,Billing Issue,Medium,Pending,8,3
TKT-201526,CUST-10855,Cancellation Request,Low,Resolved,4,8
TKT-201527,CUST-10855,Cancellation Request,Low,Closed,10,1
TKT-201528,CUST-10857,Technical Problem,Medium,Escalated,2,10
TKT-201529,CUST-10857,Cancellation Request,Medium,Closed,13,2
TKT-201530,CUST-10857,Feature Request,High,Resolved,14,10
TKT-201531,CUST-10858,Account Issue,High,Closed,7,4
TKT-201532,CUST-10859,Account Issue,High,Resolved,12,6
TKT-201533,CUST-10859,Cancellation Request,Low,Pending,13,8
TKT-201534,CUST-10860,Feature Request,High,Resolved,11,8
TKT-201535,CUST-10860,Billing Issue,Medium,Resolved,7,1
TKT-201536,CUST-10861,Account Issue,Low,Closed,12,3
TKT-201537,CUST-10861,Cancellation Request,Medium,Escalated,3,10
TKT-201538,CUST-10861,Speed Problem,High,Pending,13,3
TKT-201539,CUST-10865,Speed Problem,Medium,Pending,7,1
TKT-201540,CUST-10865,Speed Problem,High,Resolved,12,7
TKT-201541,CUST-10865,Login Issue,High,Escalated,11,10
TKT-201542,CUST-10865,Billing Issue,Medium,Pending,7,1
TKT-201543,CUST-10865,Account Issue,Medium,Escalated,6,5
TKT-201544,CUST-10865,Login Issue,Low,Resolved,6,8
TKT-201545,CUST-10867,Login Issue,Low,Closed,14,10
TKT-201546,CUST-10867,Speed Problem,Low,Pending,13,6
TKT-201547,CUST-10868,Service Outage,Medium,Escalated,4,5
TKT-201548,CUST-10868,Speed Problem,High,Closed,13,8
TKT-201549,CUST-10870,Feature Request,High,Resolved,10,8
TKT-201550,CUST-10870,Speed Problem,High,Pending,8,9
TKT-201551,CUST-10870,Technical Problem,Medium,Escalated,6,5
TKT-201552,CUST-10871,Technical Problem,High,Resolved,7,9
TKT-201553,CUST-10871,Technical Problem,Low,Resolved,10,10
TKT-201554,CUST-10872,Cancellation Request,Medium,Escalated,4,10
TKT-201555,CUST-10872,Feature Request,High,Resolved,2,10
TKT-201556,CUST-10872,Feature Request,Medium,Pending,3,10
TKT-201557,CUST-10873,Billing Issue,Low,Escalated,8,10
TKT-201558,CUST-10874,Cancellation Request,Medium,Closed,9,10
TKT-201559,CUST-10874,Speed Problem,Medium,Escalated,3,6
TKT-201560,CUST-10874,Technical Problem,High,Escalated,9,7
TKT-201561,CUST-10874,Feature Request,Medium,Pending,13,10
TKT-201562,CUST-10876,Account Issue,Medium,Resolved,10,1
TKT-201563,CUST-10877,Billing Issue,Low,Pending,12,5
TKT-201564,CUST-10879,Speed Problem,Low,Escalated,5,8
TKT-201565,CUST-10880,Technical Problem,High,Pending,12,3
TKT-201566,CUST-10881,Service Outage,Medium,Escalated,9,6
TKT-201567,CUST-10881,Login Issue,Medium,Closed,11,3
TKT-201568,CUST-10882,Billing Issue,Low,Resolved,11,10
TKT-201569,CUST-10882,Speed Problem,Medium,Escalated,1,9
TKT-201570,CUST-10883,Service Outage,High,Pending,4,6
TKT-201571,CUST-10883,Service Outage,Medium,Resolved,10,10
TKT-201572,CUST-10883,Account Issue,Low,Closed,11,7
TKT-201573,CUST-10884,Technical Problem,Medium,Escalated,1,1
TKT-201574,CUST-10884,Login Issue,Medium,Pending,7,9
TKT-201575,CUST-10885,Login Issue,Medium,Closed,13,8
TKT-201576,CUST-10885,Cancellation Request,Medium,Escalated,6,4
TKT-201577,CUST-10885,Cancellation Request,Medium,Pending,2,10
TKT-201578,CUST-10886,Technical Problem,Medium,Pending,14,3
TKT-201579,CUST-10886,Technical Problem,Low,Escalated,4,8
TKT-201580,CUST-10886,Feature Request,Medium,Resolved,7,9
TKT-201581,CUST-10887,Account Issue,High,Pending,12,4
TKT-201582,CUST-10889,Account Issue,Low,Closed,13,2
TKT-201583,CUST-10889,Login Issue,High,Closed,9,2
TKT-201584,CUST-10889,Login Issue,High,Pending,6,8
TKT-201585,CUST-10889,Billing Issue,Medium,Pending,5,4
TKT-201586,CUST-10890,Speed Problem,High,Closed,12,3
TKT-201587,CUST-10890,Service Outage,High,Resolved,8,2
TKT-201588,CUST-10890,Service Outage,Low,Escalated,6,1
TKT-201589,CUST-10890,Feature Request,Medium,Closed,10,8
TKT-201590,CUST-10892,Speed Problem,Medium,Resolved,3,3
TKT-201591,CUST-10892,Speed Problem,High,Escalated,7,5
TKT-201592,CUST-10892,Technical Problem,High,Resolved,3,1
TKT-201593,CUST-10892,Login Issue,Medium,Pending,11,6
TKT-201594,CUST-10892,Technical Problem,High,Resolved,10,9
TKT-201595,CUST-10893,Billing Issue,Low,Pending,6,3
TKT-201596,CUST-10893,Service Outage,Low,Pending,5,8
TKT-201597,CUST-10893,Feature Request,Medium,Closed,10,2
TKT-201598,CUST-10894,Billing Issue,High,Pending,14,4
TKT-201599,CUST-10894,Service Outage,High,Closed,7,8
TKT-201600,CUST-10895,Feature Request,Medium,Pending,11,7
TKT-201601,CUST-10895,Technical Problem,High,Resolved,1,5
TKT-201602,CUST-10895,Feature Request,High,Escalated,14,7
TKT-201603,CUST-10895,Cancellation Request,Low,Resolved,10,6
TKT-201604,CUST-10896,Login Issue,Medium,Escalated,8,9
TKT-201605,CUST-10896,Speed Problem,Low,Resolved,14,7
TKT-201606,CUST-10896,Speed Problem,Low,Escalated,10,9
TKT-201607,CUST-10896,Technical Problem,Medium,Closed,4,6
TKT-201608,CUST-10896,Account Issue,Medium,Resolved,14,6
TKT-201609,CUST-10896,Login Issue,Medium,Resolved,2,6
TKT-201610,CUST-10897,Cancellation Request,Low,Escalated,14,7
